instance_id,mode,certificate_pass,method,implemented_here,parameter,exponent_proxy,limitation
fallback_0000,leaf_local,True,dense TN proxy,True,w_TN_proxy,1.0,graph treewidth proxy only; no tensor-value contraction timing
fallback_0000,leaf_local,True,global PWB proxy,True,2 Lambda_glob,8.395656462959717,quasiprobability burden proxy; not a simulator timing
fallback_0000,leaf_local,True,naive hybrid proxy,True,w_eff_proxy + 2 Lambda_glob,9.395656462959717,uses global resource burden without local marginalization
fallback_0000,leaf_local,True,SLMS proxy,True,w_eff_proxy + 2 Lambda_msg,1.5247285289349821,certificate exponent proxy; no wall-clock simulator benchmark
fallback_0000,leaf_local,True,focused-width proxy (legacy),True,"max(dense width proxy, active resource subtree score)",1.0,implemented_proxy_not_exact_focused_treewidth
fallback_0000,leaf_local,True,Codsi-Laakkonen focused tree-width,True,"frw_S balanced-separator size, Definition 14",15.0,heuristic_upper_bound; per arXiv:2603.06377
fallback_0000,leaf_local,True,Codsi-Laakkonen focused rank-width,True,"frw_S recursive-bipartition GF(2) cut-rank, Definition 13",4.0,heuristic_upper_bound; per arXiv:2603.06377
fallback_0000,leaf_local,True,Codsi-Laakkonen runtime exponent,True,"(log_{3/2} 4) * frw_S * log|S|, ln-scale",37.91817381554087,Theorem 8 of arXiv:2603.06377; uses our frw upper bound
fallback_0000,leaf_local,True,ZX (pyzx full_reduce + Bravyi-Gosset),True,"alpha_BG * T_count_after_reduction, ln-scale",4.391780536027814,synthetic Clifford+T circuit derived from instance; pyzx full_reduce; not Sutcliffe-Kissinger cutting/parametric rewrites
fallback_0000,leaf_local,True,STN-style upper bound,True,"alpha_BG * T_count + ln(active_resource_count), ln-scale",4.391780536027814,tableau+Bravyi-Gosset upper bound; NOT the Masot-Llima or Nakhl algorithm
fallback_0000,leaf_local,True,opt_einsum/cotengra dense contraction,False,not available for graph-only instances,,tensor entries are not generated; width proxy reported instead
fallback_0000,leaf_local,True,ZX k-partition heuristic (pyzx),True,min_k max_part(alpha_BG*T_part*ln2)+cut_edges*ln2+ln(k),4.391780536027814,best-effort pyzx graph partition diagnostic; NOT Sutcliffe-Kissinger cutting/parametric rewrites
fallback_0000,leaf_local,True,ZX partitioning (Sutcliffe-Kissinger exact),False,not computed,,published Sutcliffe-Kissinger 2024-2025 algorithms not reimplemented; heuristic pyzx partition row is separate
fallback_0000,leaf_local,True,STN / MAST exact,False,not computed,,Masot-Llima and Nakhl tensor-network algorithms not implemented; only an upper-bound proxy reported
fallback_0001,path_active,True,dense TN proxy,True,w_TN_proxy,1.0,graph treewidth proxy only; no tensor-value contraction timing
fallback_0001,path_active,True,global PWB proxy,True,2 Lambda_glob,4.85988598539015,quasiprobability burden proxy; not a simulator timing
fallback_0001,path_active,True,naive hybrid proxy,True,w_eff_proxy + 2 Lambda_glob,5.85988598539015,uses global resource burden without local marginalization
fallback_0001,path_active,True,SLMS proxy,True,w_eff_proxy + 2 Lambda_msg,2.1867862828452758,certificate exponent proxy; no wall-clock simulator benchmark
fallback_0001,path_active,True,focused-width proxy (legacy),True,"max(dense width proxy, active resource subtree score)",6.0,implemented_proxy_not_exact_focused_treewidth
fallback_0001,path_active,True,Codsi-Laakkonen focused tree-width,True,"frw_S balanced-separator size, Definition 14",1.0,exact; per arXiv:2603.06377
fallback_0001,path_active,True,Codsi-Laakkonen focused rank-width,True,"frw_S recursive-bipartition GF(2) cut-rank, Definition 13",2.0,tight_upper_bound; per arXiv:2603.06377
fallback_0001,path_active,True,Codsi-Laakkonen runtime exponent,True,"(log_{3/2} 4) * frw_S * log|S|, ln-scale",15.745180863083444,Theorem 8 of arXiv:2603.06377; uses our frw upper bound
fallback_0001,path_active,True,ZX (pyzx full_reduce + Bravyi-Gosset),True,"alpha_BG * T_count_after_reduction, ln-scale",2.744862835017383,synthetic Clifford+T circuit derived from instance; pyzx full_reduce; not Sutcliffe-Kissinger cutting/parametric rewrites
fallback_0001,path_active,True,STN-style upper bound,True,"alpha_BG * T_count + ln(active_resource_count), ln-scale",5.0474479280114295,tableau+Bravyi-Gosset upper bound; NOT the Masot-Llima or Nakhl algorithm
fallback_0001,path_active,True,opt_einsum/cotengra dense contraction,False,not available for graph-only instances,,tensor entries are not generated; width proxy reported instead
fallback_0001,path_active,True,ZX k-partition heuristic (pyzx),True,min_k max_part(alpha_BG*T_part*ln2)+cut_edges*ln2+ln(k),2.744862835017383,best-effort pyzx graph partition diagnostic; NOT Sutcliffe-Kissinger cutting/parametric rewrites
fallback_0001,path_active,True,ZX partitioning (Sutcliffe-Kissinger exact),False,not computed,,published Sutcliffe-Kissinger 2024-2025 algorithms not reimplemented; heuristic pyzx partition row is separate
fallback_0001,path_active,True,STN / MAST exact,False,not computed,,Masot-Llima and Nakhl tensor-network algorithms not implemented; only an upper-bound proxy reported
fallback_0002,chain_active,True,dense TN proxy,True,w_TN_proxy,1.0,graph treewidth proxy only; no tensor-value contraction timing
fallback_0002,chain_active,True,global PWB proxy,True,2 Lambda_glob,16.79131292591944,quasiprobability burden proxy; not a simulator timing
fallback_0002,chain_active,True,naive hybrid proxy,True,w_eff_proxy + 2 Lambda_glob,17.79131292591944,uses global resource burden without local marginalization
fallback_0002,chain_active,True,SLMS proxy,True,w_eff_proxy + 2 Lambda_msg,17.79131292591943,certificate exponent proxy; no wall-clock simulator benchmark
fallback_0002,chain_active,True,focused-width proxy (legacy),True,"max(dense width proxy, active resource subtree score)",31.0,implemented_proxy_not_exact_focused_treewidth
fallback_0002,chain_active,True,Codsi-Laakkonen focused tree-width,True,"frw_S balanced-separator size, Definition 14",1.0,heuristic_upper_bound; per arXiv:2603.06377
fallback_0002,chain_active,True,Codsi-Laakkonen focused rank-width,True,"frw_S recursive-bipartition GF(2) cut-rank, Definition 13",9.0,heuristic_upper_bound; per arXiv:2603.06377
fallback_0002,chain_active,True,Codsi-Laakkonen runtime exponent,True,"(log_{3/2} 4) * frw_S * log|S|, ln-scale",106.64486385620869,Theorem 8 of arXiv:2603.06377; uses our frw upper bound
fallback_0002,chain_active,True,ZX (pyzx full_reduce + Bravyi-Gosset),True,"alpha_BG * T_count_after_reduction, ln-scale",8.783561072055628,synthetic Clifford+T circuit derived from instance; pyzx full_reduce; not Sutcliffe-Kissinger cutting/parametric rewrites
fallback_0002,chain_active,True,STN-style upper bound,True,"alpha_BG * T_count + ln(active_resource_count), ln-scale",14.990136998780557,tableau+Bravyi-Gosset upper bound; NOT the Masot-Llima or Nakhl algorithm
fallback_0002,chain_active,True,opt_einsum/cotengra dense contraction,False,not available for graph-only instances,,tensor entries are not generated; width proxy reported instead
fallback_0002,chain_active,True,ZX k-partition heuristic (pyzx),True,min_k max_part(alpha_BG*T_part*ln2)+cut_edges*ln2+ln(k),7.74106771249347,best-effort pyzx graph partition diagnostic; NOT Sutcliffe-Kissinger cutting/parametric rewrites
fallback_0002,chain_active,True,ZX partitioning (Sutcliffe-Kissinger exact),False,not computed,,published Sutcliffe-Kissinger 2024-2025 algorithms not reimplemented; heuristic pyzx partition row is separate
